Configuration,AUC,F1,Prec,Rec,ΔAUC,ΔF1
HierGeoNet (full),0.9939715676431944,0.7583204982254068,0.6992227599354744,0.8283303007305677,0.0,0.0
w/o cross-scale bridges,0.9938770117969907,0.742313196923706,0.6511709723036595,0.8631214168807776,-9.455584620365887e-05,-0.016007301301700805
w/o coarse Transformer,0.9945228728312923,0.7393716454344057,0.6280303127116587,0.8986988762606636,0.0005513051880978725,-0.018948852791001114
w/o medium graph (Seed 42),0.9936918265014313,0.7482560500488507,0.6677574452816649,0.8508233745096784,-0.0002797411417631013,-0.010064448176556162
w/o medium graph (Seed 43),0.993555676709978,0.7170345196978372,0.6015320921238565,0.8874340523192553,-0.0004158909332163674,-0.041285978527569656
w/o medium graph (Seed 44),0.9936513734664071,0.7398416886543535,0.6391898727437304,0.8781167994001847,-0.0003201941767873029,-0.0184788095710533
